continent_code,date,cases,deaths
AF,2020-02-14,1,0
AF,2020-02-15,1,0
AF,2020-02-16,1,0
AF,2020-02-17,1,0
AF,2020-02-18,1,0
AF,2020-02-19,1,0
AF,2020-02-20,1,0
AF,2020-02-21,1,0
AF,2020-02-22,1,0
AF,2020-02-23,1,0
AF,2020-02-24,1,0
AF,2020-02-25,2,0
AF,2020-02-26,2,0
AF,2020-02-27,2,0
AF,2020-02-28,3,0
AF,2020-02-29,3,0
AF,2020-03-01,4,0
AF,2020-03-02,8,0
AF,2020-03-03,11,0
AF,2020-03-04,21,0
AF,2020-03-05,24,0
AF,2020-03-06,43,0
AF,2020-03-07,43,0
AF,2020-03-08,83,1
AF,2020-03-09,91,1
AF,2020-03-10,104,2
AF,2020-03-11,118,2
AF,2020-03-12,134,3
AF,2020-03-13,176,5
AF,2020-03-14,254,7
AF,2020-03-15,313,8
AF,2020-03-16,399,8
AF,2020-03-17,488,11
AF,2020-03-18,604,17
AF,2020-03-19,784,20
AF,2020-03-20,972,26
AF,2020-03-21,1172,36
AF,2020-03-22,1437,48
AF,2020-03-23,1818,57
AF,2020-03-24,2250,64
AF,2020-03-25,2773,73
AF,2020-03-26,3326,91
AF,2020-03-27,3885,115
AF,2020-03-28,4225,134
AF,2020-03-29,4785,152
AF,2020-03-30,5196,173
AF,2020-03-31,5781,200
AF,2020-04-01,6380,234
AF,2020-04-02,7031,287
AF,2020-04-03,7912,331
AF,2020-04-04,8589,382
AF,2020-04-05,9295,442
AF,2020-04-06,9998,487
AF,2020-04-07,10632,533
AF,2020-04-08,11419,573
AF,2020-04-09,12248,627
AF,2020-04-10,12905,692
AF,2020-04-11,13616,742
AF,2020-04-12,14489,788
AF,2020-04-13,15256,833
AF,2020-04-14,16227,873
AF,2020-04-15,17192,910
AF,2020-04-16,18360,965
AF,2020-04-17,19763,1015
AF,2020-04-18,21072,1058
AF,2020-04-19,22271,1120
AF,2020-04-20,23431,1159
AF,2020-04-21,24507,1189
AF,2020-04-22,25911,1240
AF,2020-04-23,27349,1297
AF,2020-04-24,29052,1324
AF,2020-04-25,30296,1372
AF,2020-04-26,31829,1422
AF,2020-04-27,33167,1462
AF,2020-04-28,34786,1523
AF,2020-04-29,36807,1588
AF,2020-04-30,38753,1634
AF,2020-05-01,40468,1690
AF,2020-05-02,42705,1759
AF,2020-05-03,44297,1796
AF,2020-05-04,46951,1842
AF,2020-05-05,48993,1906
AF,2020-05-06,51535,2006
AF,2020-05-07,54022,2073
AF,2020-05-08,57647,2154
AF,2020-05-09,60507,2221
AF,2020-05-10,63086,2290
AF,2020-05-11,66145,2344
AF,2020-05-12,69312,2395
AF,2020-05-13,72226,2493
AF,2020-05-14,75344,2562
AF,2020-05-15,78270,2624
AF,2020-05-16,81273,2708
AF,2020-05-17,84587,2758
AF,2020-05-18,88255,2831
AF,2020-05-19,91266,2906
AF,2020-05-20,95057,2990
AF,2020-05-21,99752,3095
AF,2020-05-22,103620,3183
AF,2020-05-23,107485,3255
AF,2020-05-24,111607,3354
AF,2020-05-25,115733,3479
AF,2020-05-26,119444,3591
AF,2020-05-27,124524,3698
AF,2020-05-28,129440,3791
AF,2020-05-29,135187,3922
AF,2020-05-30,141304,4069
AF,2020-05-31,146551,4222
AF,2020-06-01,152336,4343
AF,2020-06-02,157214,4493
AF,2020-06-03,162311,4601
AF,2020-06-04,169417,4756
AF,2020-06-05,176605,4913
AF,2020-06-06,183202,5055
AF,2020-06-07,189536,5188
AF,2020-06-08,196187,5363
